# Forces     
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous) moment(pressure viscous porous)
0.01         	((-1.898779e-22 -4.017774e-03 4.357906e-03) (1.715850e-02 4.548571e-06 1.701528e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.894662e-03 1.786078e-02 -6.068779e-03) (-5.633429e-06 2.286602e-02 -1.872746e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02         	((-5.353885e-22 -1.426912e-01 -4.999577e-04) (1.597747e-02 4.260097e-05 6.781831e-05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.823444e-01 -1.932731e-03 -2.888476e-01) (-5.615111e-05 2.091439e-02 -9.469598e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03         	((4.601433e-22 1.093504e-01 -3.043726e-04) (1.500489e-02 1.130489e-04 8.625823e-05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.400978e-01 -1.477806e-03 2.252987e-01) (-1.461351e-04 1.974303e-02 5.785547e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04         	((-1.861165e-22 -4.897891e-02 2.770770e-04) (1.416489e-02 1.713648e-04 8.067864e-05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.250952e-02 1.342692e-03 -1.080030e-01) (-2.203001e-04 1.863325e-02 1.835094e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05         	((6.184884e-23 2.247902e-02 2.411262e-04) (1.343573e-02 2.142881e-04 6.817063e-05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.855140e-02 9.141339e-04 5.732633e-02) (-2.751340e-04 1.763768e-02 2.767144e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06         	((5.839096e-23 8.436861e-03 2.053916e-04) (1.280582e-02 2.531922e-04 6.100968e-05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.089596e-02 9.110327e-04 2.988288e-03) (-3.251377e-04 1.679536e-02 3.605525e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07         	((-1.334289e-22 -2.290974e-02 1.971604e-04) (1.226119e-02 2.855753e-04 5.603442e-05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.925359e-02 8.311161e-04 -3.083036e-02) (-3.664743e-04 1.606890e-02 4.309434e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08         	((2.646650e-22 5.630522e-02 1.893813e-04) (1.178991e-02 3.096956e-04 5.200594e-05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.195646e-02 8.493146e-04 9.684024e-02) (-3.972167e-04 1.544103e-02 4.836999e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
0.09         	((-2.531471e-22 -5.238013e-02 1.898044e-04) (1.138081e-02 3.277140e-04 4.838599e-05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.701286e-02 7.939743e-04 -8.842978e-02) (-4.201844e-04 1.489635e-02 5.243280e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
0.1          	((3.282714e-22 7.443541e-02 1.810919e-04) (1.102488e-02 3.412562e-04 4.527217e-05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.542504e-02 8.175891e-04 1.319773e-01) (-4.373436e-04 1.442239e-02 5.552971e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
